ResponseID,NPS_Score,Overall_Satisfaction,Agent_Mode_Rating,Code_Completion_Rating,Chat_Edit_Rating,Next_Edit_Suggestions_Rating,Model_Choice_Rating,Enterprise_Features_Rating,Performance_Rating,Ease_of_Use_Rating,What_Dont_You_Like,What_Would_You_Like_Added,General_Comments,User_Type,Experience_Level,Company_Size,Primary_Language
1,9,4,5,4,4,3,4,5,4,4,"Agent mode sometimes generates non-compliant code that doesn't pass our linters","Better integration with formatters and linters in agent mode","Love the potential of agent mode but needs polish",Professional,Senior,Large,TypeScript
2,8,4,4,5,4,2,3,4,4,4,"Next edit suggestions interrupt my workflow when using snippets","Option to configure next edit suggestions more granularly","Great for boilerplate code generation",Professional,Mid,Medium,JavaScript
3,7,3,3,4,4,3,4,3,3,3,"Agent mode is slow and often breaks things I've already fixed","Faster agent execution and better context retention","Sometimes feels like working with a junior developer",Professional,Senior,Large,Python
4,10,5,5,5,5,4,5,5,5,5,"Nothing major, just occasional hiccups with complex prompts","More model options and better prompt customization","This tool has revolutionized my coding workflow",Professional,Expert,Medium,Java
5,6,3,2,4,3,2,3,3,2,3,"Agent mode generates code that looks good but rarely runs correctly","Better error handling and self-correction in agent mode","Frustrating when it breaks working code repeatedly",Student,Beginner,Small,Python
6,9,4,4,4,5,3,4,4,4,4,"Sometimes the AI seems less sharp than direct API calls","Transparency about any prompt filtering or processing","Excellent for quick fixes and incremental changes",Professional,Senior,Large,C#
7,8,4,4,4,4,2,4,4,4,3,"Next edit suggestions are overwhelming and annoying","Ability to fine-tune suggestion frequency and timing","I've learned to constantly hit escape to dismiss suggestions",Professional,Mid,Medium,Go
8,5,2,2,3,3,2,3,2,2,3,"Agent mode uses up my quota quickly without delivering results","Better quota management and more efficient token usage","Feels like it generates tons of prompts for simple tasks",Professional,Mid,Small,Ruby
9,9,5,5,4,5,4,5,5,4,4,"Wish I could use it more but company policies restrict AI tools","Better enterprise compliance and governance features","Saved me weeks of work once I got approval",Professional,Senior,Enterprise,Java
10,7,4,3,4,4,3,3,4,3,4,"Documentation on prompt files and instructions could be better","More examples and templates for copilot-instructions.md","Still figuring out how to customize it effectively",Professional,Mid,Medium,TypeScript
11,8,4,4,4,4,3,4,4,4,4,"Claude 3.7 being temporarily disabled is frustrating","More reliable model availability and redundancy","Different models have different strengths for different tasks",Professional,Expert,Large,Python
12,6,3,3,3,3,2,3,3,3,3,"GPT-4 seems reluctant to use some tools in agent mode","Better tool utilization across all available models","Some models work better than others for agent tasks",Professional,Senior,Medium,JavaScript
13,10,5,5,5,5,5,5,5,5,5,"Honestly can't think of anything major to complain about","Keep doing what you're doing, maybe add more languages","Thank you for this awesome product, amazing work",Professional,Mid,Small,C++
14,4,2,1,3,2,1,2,2,2,2,"Agent mode is basically unusable, too many errors and failures","Complete redesign of agent architecture for reliability","More frustrating than helpful most of the time",Professional,Senior,Medium,Rust
15,9,4,5,4,4,3,4,4,4,4,"Would love more control over how agent mode approaches tasks","Step-by-step execution mode with human approval gates","Impressed by multi-file modifications that work correctly",Professional,Expert,Large,TypeScript
16,7,3,3,4,4,2,3,3,3,4,"Snippets workflow is completely broken with Copilot enabled","Better integration with existing VS Code snippet system","Had to disable next edit suggestions due to interference",Professional,Mid,Medium,Python
17,8,4,4,4,4,4,4,4,4,4,"Sometimes generates outdated or deprecated code patterns","Real-time knowledge updates and modern best practices","Great for learning new patterns and approaches",Student,Intermediate,Small,JavaScript
18,6,3,2,3,3,3,3,3,3,3,"Performance is inconsistent, sometimes very slow responses","Faster response times and better caching","Can be hit or miss depending on the complexity",Professional,Mid,Medium,Go
19,9,5,4,5,5,4,5,4,4,4,"Enterprise setup was complex and took too long to get approved","Streamlined enterprise onboarding and approval process","Productivity gains are massive once you get it working",Professional,Senior,Enterprise,C#
20,5,2,2,2,3,2,2,3,2,2,"Feels like I'm fighting the AI more than collaborating with it","Better understanding of user intent and context","Often generates solutions that miss the actual requirement",Professional,Senior,Large,Java
21,8,4,4,4,4,3,4,4,4,4,"Limited understanding of project-specific conventions and patterns","Project-aware suggestions based on existing codebase analysis","Works well for standard patterns but struggles with custom architectures",Professional,Expert,Large,Python
22,7,4,3,4,4,2,3,4,3,4,"Next edit suggestions pop up at the worst possible moments","Context-aware timing for suggestions based on user activity","Interrupts deep focus when I'm in the zone",Professional,Senior,Medium,TypeScript
23,9,4,5,4,4,4,4,5,4,4,"Wish I could save and share custom prompt templates with my team","Team-wide prompt template sharing and version control","Great for onboarding new developers with consistent patterns",Professional,Mid,Large,JavaScript
24,6,3,3,3,3,2,3,3,3,3,"Agent mode doesn't understand our specific testing frameworks","Better support for custom testing and build tools","Generates tests that don't match our existing patterns",Professional,Mid,Medium,Ruby
25,10,5,5,5,5,4,5,5,5,5,"Nothing significant, this tool is a game changer","Maybe add support for more niche programming languages","Completely transformed how I approach complex refactoring",Professional,Expert,Medium,Rust
26,4,2,1,3,2,1,2,2,2,2,"Agent mode creates more problems than it solves","Start over with a more reliable foundation","Constantly breaks working code and introduces bugs",Professional,Senior,Large,C++
27,8,4,4,4,4,3,4,4,4,4,"Documentation could be clearer about model differences and capabilities","Detailed comparison guide for choosing the right model","Each model seems to have different strengths and weaknesses",Professional,Mid,Medium,Python
28,7,3,3,4,3,2,3,3,3,3,"Too many false starts and incomplete suggestions","Better confidence scoring and suggestion quality filtering","Wastes time with low-quality suggestions that need fixing",Professional,Mid,Small,Go
29,9,4,4,4,5,4,4,4,4,4,"Sometimes struggles with modern framework syntax and patterns","Regular updates to support latest framework versions","Excellent for rapid prototyping and boilerplate generation",Professional,Senior,Medium,TypeScript
30,5,3,2,3,3,2,3,3,2,3,"Quota limits are too restrictive for serious development work","Higher quota limits or better usage optimization","Runs out of quota too quickly when doing complex work",Student,Intermediate,Small,JavaScript
31,8,4,4,4,4,3,4,4,4,4,"Lacks understanding of accessibility best practices","Built-in accessibility checking and suggestions","Could help make the web more accessible by default",Professional,Senior,Large,HTML/CSS
32,6,3,3,3,3,2,3,3,3,3,"Error messages from failed agent attempts are not helpful","Better debugging information when agent mode fails","Hard to understand why something didn't work",Professional,Mid,Medium,Python
33,9,5,5,4,5,4,5,4,4,5,"Would love offline mode for sensitive codebases","Local model options for enterprises with strict data policies","Amazing tool but data privacy concerns limit usage",Professional,Expert,Enterprise,Java
34,7,4,3,4,4,3,3,4,3,4,"Inconsistent code style even with project-specific instructions","Better adherence to existing code style and conventions","Generated code often doesn't match team standards",Professional,Mid,Large,C#
35,8,4,4,4,4,2,4,4,4,4,"Next edit suggestions don't respect current selection or context","Smarter context awareness for when to show suggestions","Suggestions often don't make sense for what I'm currently doing",Professional,Senior,Medium,TypeScript
36,5,2,2,2,3,2,2,2,2,2,"Agent mode is too unpredictable and unreliable for production use","Complete reliability overhaul before promoting as stable feature","Beta quality at best, not ready for serious development",Professional,Expert,Large,Python
37,10,5,5,5,5,5,5,5,5,5,"Honestly struggling to find meaningful complaints","Keep pushing the boundaries of what's possible","This is the future of software development",Professional,Senior,Medium,Multiple
38,7,3,3,4,3,2,3,3,3,3,"Doesn't understand domain-specific languages and frameworks well","Support for more specialized and niche technologies","Limited usefulness outside mainstream programming languages",Professional,Senior,Medium,COBOL
39,8,4,4,4,4,3,4,4,4,4,"Security scanning could be better integrated","Real-time security vulnerability detection and fixes","Would be great to catch security issues during generation",Professional,Senior,Enterprise,Java
40,6,3,2,3,3,3,3,3,3,3,"Takes too long to analyze large codebases","Faster indexing and analysis of existing project structure","Performance degrades significantly with large projects",Professional,Mid,Large,C++
41,9,4,5,4,4,4,4,5,4,4,"Limited support for infrastructure as code and DevOps workflows","Better integration with Terraform, Kubernetes, and CI/CD","Great for application code but weak on infrastructure",Professional,Expert,Large,Terraform
42,4,2,1,2,2,1,2,2,2,2,"Agent mode gets stuck in loops and doesn't know when to stop","Circuit breakers and better failure detection","Wastes enormous amounts of time on doomed approaches",Professional,Senior,Medium,Python
